year,id,mhi,mgr
2010,010100,79005.364,1498.216882
2011,010100,80008.97264,1542.192142
2012,010100,76247.71999,1511.618494
2013,010100,91055.23338,1592.442946
2014,010100,98274.49655,1584.360847
2010,010200,138262.2288,1766.48637
2011,010200,147966.2455,1850.187412
2012,010200,149079.4627,1918.385212
2013,010200,146789.6812,2000.0
2014,010200,142581.1887,2000.0
2010,010300,145232.6886,2000.0
2011,010300,135726.2032,2000.0
2012,010300,125153.5954,2000.0
2013,010300,147420.7487,2000.0
2014,010300,145137.3045,2000.0
2010,010400,142678.4448,2000.0
2011,010400,148605.5018,2000.0
2012,010400,137672.7313,2000.0
2013,010400,134072.2989,2000.0
2014,010400,136649.0708,2000.0
2010,010500,189825.6704,2000.0
2011,010500,169430.6352,2000.0
2012,010500,167086.173,2000.0
2013,010500,169468.0105,2000.0
2014,010500,161084.5532,2000.0
2010,010600,68605.37443,1156.059613
2011,010600,65970.81414,1151.104623
2012,010600,68227.83401,1367.038281
2013,010600,67441.91107,1232.58672
2014,010600,60428.38466,1006.643776
2010,010700,46637.96832,604.7430815
2011,010700,49725.72551,671.3853721
2012,010700,49043.98189,608.531642
2013,010700,49434.32563,606.7956886
2014,010700,50665.68447,584.9000536
2010,010800,141233.6544,1582.335281
2011,010800,151898.1707,1603.126458
2012,010800,125634.8101,1418.828208
2013,010800,118885.5219,1535.456916
2014,010800,113500.3685,1496.112769
2010,010900,153128.4507,1542.549552
2011,010900,165742.4473,1645.226531
2012,010900,165013.4969,1811.568487
2013,010900,153981.5292,1823.552956
2014,010900,147832.9755,1897.333683
2010,011000,95268.6333,1112.863678
2011,011000,94840.38514,1291.807498
2012,011000,96062.76184,1397.249072
2013,011000,104154.6332,1627.267742
2014,011000,122038.8831,1550.498212
2010,011100,79714.68671,1190.161666
2011,011100,86522.29706,1344.986538
2012,011100,83100.1747,1406.959683
2013,011100,83150.00468,1362.388233
2014,011100,85713.51136,1465.328555
2010,011200,142869.4163,1710.786349
2011,011200,196598.477,1656.305497
2012,011200,209417.9645,1542.908241
2013,011200,213871.736,1554.45226
2014,011200,196884.541,1514.583297
2010,011300,44405.42055,599.0594059
2011,011300,49987.18912,589.4010198
2012,011300,53083.59619,621.4791237
2013,011300,59547.23534,690.1641397
2014,011300,66626.27294,798.3372661
2010,011700,47441.64005,898.0207413
2011,011700,55009.28465,964.9779853
2012,011700,77566.20522,1022.851058
2013,011700,74456.46923,1003.587304
2014,011700,96667.56061,1054.872377
2010,011800,50214.13699,711.5961823
2011,011800,54402.15728,730.1038948
2012,011800,50452.02053,711.0325391
2013,011800,39789.96772,703.8829987
2014,011800,34208.44401,640.3116376
2010,011901,76673.92028,1207.212693
2011,011901,86948.83728,1266.325875
2012,011901,97311.11488,1464.144394
2013,011901,91204.03023,1390.881248
2014,011901,94994.95168,1548.445931
2010,011902,101682.0928,1342.484171
2011,011902,102880.3912,1442.481443
2012,011902,93617.84571,1451.196912
2013,011902,103726.1827,1407.765997
2014,011902,76822.00441,1445.831887
2010,012000,54526.91002,1148.102467
2011,012000,52636.17002,1135.59407
2012,012000,56624.73245,1095.141164
2013,012000,52705.74586,1174.545394
2014,012000,52481.95305,1145.172736
2010,012100,48337.38732,1235.631071
2011,012100,54855.28701,1275.189048
2012,012100,57956.16516,1307.695656
2013,012100,65379.86103,1456.309653
2014,012100,62033.26831,1402.733988
2010,012201,58496.38905,1114.000413
2011,012201,56571.41893,1157.752003
2012,012201,48198.07975,1206.273716
2013,012201,49920.81747,1255.803251
2014,012201,49289.63013,1312.433629
2010,012202,44423.60832,944.626881
2011,012202,41526.18237,880.7778397
2012,012202,41961.70938,862.0864928
2013,012202,37844.00033,952.9330553
2014,012202,50698.52096,923.5264004
2010,012301,30887.36656,667.2635128
2011,012301,23127.34265,639.2563692
2012,012301,20407.38914,582.6366785
2013,012301,23039.24082,738.7077948
2014,012301,22158.47677,614.6581265
2010,012302,41869.36451,1107.180003
2011,012302,42248.53099,1134.486173
2012,012302,42018.89409,1241.879291
2013,012302,41252.60915,1133.388817
2014,012302,48473.84848,1277.544854
2010,012401,32926.66936,835.5003099
2011,012401,35082.65544,871.9146664
2012,012401,28836.19976,794.1122136
2013,012401,26906.90378,802.0256058
2014,012401,28268.11698,818.860075
2010,012402,39175.30229,963.951378
2011,012402,42129.98605,973.8411586
2012,012402,46960.51629,945.1661673
2013,012402,49902.87743,997.255523
2014,012402,60299.09096,1085.656591
2010,012501,21763.93052,634.2981945
2011,012501,23819.77805,634.8247826
2012,012501,22238.37885,592.3472898
2013,012501,19756.21232,568.805002
2014,012501,20347.33888,553.0896998
2010,012502,18191.17205,519.4879478
2011,012502,18598.26113,560.5957068
2012,012502,19116.9568,458.5566451
2013,012502,20078.07786,414.7316619
2014,012502,23547.87093,455.6063575
2010,012601,149329.4819,2000.0
2011,012601,141912.6982,1935.495454
2012,012601,141067.1294,1901.121903
2013,012601,139152.4979,1872.096611
2014,012601,144161.445,1919.908772
2010,012602,207138.1462,2000.0
2011,012602,197582.2892,2000.0
2012,012602,192306.7884,2000.0
2013,012602,201259.8834,2000.0
2014,012602,194055.4718,2000.0
2010,012700,187561.2941,1959.731339
2011,012700,166167.8796,1800.332062
2012,012700,171029.7601,1864.437371
