storetype,id,lat,lon,year
low_end_groc,061100,37.795406,-122.406531,2000
low_end_groc,010300,37.80005,-122.412481,2000
low_end_liq,032902,37.753652,-122.489976,2000
high_end_groc,011100,37.791183,-122.417443,2000
low_end_groc,020200,37.763177,-122.423895,2000
low_end_groc,021000,37.755187,-122.42096,2000
high_end_groc,010500,37.797051,-122.398626,2000
high_end_groc,031100,37.731511,-122.449537,2000
high_end_groc,020300,37.768701,-122.427535,2000
high_end_groc,032902,37.753724,-122.488472,2000
high_end_groc,021700,37.74384600000001,-122.438211,2000
high_end_groc,012602,37.805097,-122.43308,2000
high_end_groc,025300,37.743283,-122.421372,2000
high_end_groc,017700,37.765632,-122.410113,2000
high_end_groc,047901,37.772309,-122.509972,2000
high_end_groc,030400,37.743138,-122.473882,2000
high_end_groc,026004,37.720004,-122.438349,2000
high_end_groc,010100,37.805738,-122.412646,2000
low_end_liq,012800,37.799933,-122.443155,2000
high_end_liq,026002,37.720554,-122.430593,2000
high_end_liq,012301,37.786455,-122.409738,2000
high_end_groc,017700,37.767057,-122.408221,2000
high_end_groc,020900,37.749151,-122.41815,2000
high_end_groc,011200,37.793433,-122.412831,2000
low_end_liq,020200,37.769492,-122.42234,2000
low_end_groc,016900,37.765733,-122.433289,2000
low_end_groc,017700,37.769158,-122.415646,2000
high_end_groc,025500,37.726857,-122.441515,2000
low_end_liq,017601,37.781242,-122.40906,2000
high_end_groc,021500,37.74560200000001,-122.426844,2000
high_end_liq,030400,37.74335900000001,-122.468651,2000
high_end_groc,021500,37.745164,-122.426801,2000
high_end_liq,022801,37.759197,-122.409774,2000
low_end_liq,012700,37.800189,-122.44119,2000
high_end_groc,010400,37.803036,-122.409716,2000
low_end_groc,017601,37.780283,-122.40786,2000
low_end_liq,012800,37.798545,-122.445965,2000
low_end_liq,061500,37.783509,-122.389986,2000
high_end_groc,061500,37.791336,-122.392471,2000
high_end_groc,061400,37.754549,-122.402079,2000
high_end_groc,045200,37.775028000000006,-122.468151,2000
high_end_liq,012402,37.781471,-122.420616,2000
high_end_liq,017802,37.773939,-122.411816,2000
high_end_groc,031202,37.716231,-122.450347,2000
low_end_liq,047701,37.780257,-122.4797,2000
low_end_groc,016801,37.771934,-122.431834,2000
high_end_groc,030202,37.764014,-122.466899,2000
groc,020800,37.762873,-122.419471,2000
groc,061400,37.754861,-122.3987,2000
groc,011300,37.793483,-122.407792,2000
low_end_groc,012401,37.782672,-122.415011,2000
high_end_groc,023200,37.732996,-122.39125,2000
high_end_groc,031400,37.713175,-122.458857,2000
high_end_groc,015802,37.777234,-122.438211,2000
low_end_groc,020200,37.76481,-122.423666,2000
high_end_liq,016400,37.774057,-122.437661,2000
high_end_groc,016900,37.768205,-122.429016,2000
low_end_groc,016100,37.780822,-122.432213,2000
high_end_groc,022702,37.76,-122.39682,2000
high_end_groc,025200,37.73909,-122.416702,2000
high_end_groc,012800,37.80014,-122.441562,2000
low_end_liq,03603,37.545839,-120.984623,2000
high_end_liq,025702,37.727776,-122.403666,2000
low_end_groc,013000,37.798413,-122.425643,2000
high_end_groc,020300,37.76263400000001,-122.432945,2000
low_end_groc,013500,37.789863,-122.43067,2000
high_end_liq,012302,37.786408,-122.411416,2000
low_end_groc,010700,37.797752,-122.40865,2000
low_end_groc,020100,37.768334,-122.419224,2000
low_end_groc,016200,37.777573,-122.425019,2000
low_end_groc,047600,37.780561,-122.473028,2000
high_end_liq,016200,37.779676,-122.42351200000002,2000
high_end_liq,017802,37.778099,-122.403035,2000
high_end_liq,030102,37.76148,-122.449084,2000
high_end_liq,010600,37.798435,-122.407453,2000
low_end_groc,016300,37.776253,-122.427926,2000
high_end_groc,017802,37.775961,-122.408848,2000
low_end_groc,030800,37.738675,-122.468303,2000
high_end_groc,020500,37.762598,-122.43538999999998,2000
high_end_groc,025401,37.739359,-122.418742,2000
low_end_liq,023400,37.72195900000001,-122.39305,2000
low_end_groc,016700,37.773293,-122.436119,2000
low_end_liq,022901,37.752439,-122.415175,2000
high_end_groc,020600,37.757699,-122.434695,2000
high_end_groc,011902,37.790673,-122.412259,2000
high_end_groc,013200,37.792472,-122.434576,2000
low_end_groc,015100,37.78865,-122.423678,2000
low_end_groc,016300,37.774211,-122.430883,2000
groc,011300,37.794187,-122.40793700000002,2000
low_end_groc,025702,37.731859,-122.405354,2000
low_end_groc,016300,37.775529,-122.431155,2000
low_end_groc,017802,37.779538,-122.406928,2000
low_end_groc,032601,37.763532,-122.478204,2000
high_end_liq,013500,37.788857,-122.434245,2000
low_end_groc,032601,37.763277,-122.483849,2000
high_end_liq,022903,37.751565,-122.406259,2000
low_end_liq,031302,37.714255,-122.469395,2000
low_end_groc,010700,37.798299,-122.408763,2000
low_end_liq,011700,37.789622,-122.407011,2000
low_end_groc,011300,37.79413,-122.407926,2000
low_end_liq,032901,37.742431,-122.489792,2000
groc,010700,37.798495,-122.409504,2000
groc,011300,37.796405,-122.408387,2000
low_end_liq,035400,37.735472,-122.501747,2000
high_end_groc,016600,37.769917,-122.447559,2000
high_end_liq,035300,37.738221,-122.500629,2000
high_end_liq,011700,37.789497,-122.406359,2000
low_end_groc,020100,37.765075,-122.41913999999998,2000
low_end_groc,010700,37.798542,-122.410526,2000
low_end_groc,032601,37.763429,-122.480548,2000
low_end_groc,020800,37.756368,-122.418836,2000
low_end_groc,010700,37.797411,-122.408584,2000
high_end_groc,020900,37.752108,-122.420662,2000
high_end_liq,017601,37.783419,-122.407362,2000
high_end_groc,012800,37.797849,-122.445828,2000
low_end_groc,010600,37.800425,-122.407551,2000
low_end_liq,025701,37.732316,-122.406009,2000
groc,010700,37.79721,-122.408545,2000
high_end_groc,022903,37.752872,-122.408008,2000
high_end_liq,015400,37.78671,-122.450797,2000
low_end_groc,035300,37.738366,-122.497285,2000
high_end_groc,015802,37.777376,-122.441675,2000
low_end_liq,012401,37.783728,-122.414256,2000
high_end_liq,012302,37.78767,-122.413236,2000
low_end_groc,031201,37.721824,-122.461721,2000
high_end_groc,012302,37.787595,-122.413828,2000
high_end_groc,011300,37.795745,-122.408866,2000
low_end_groc,012100,37.789156,-122.409281,2000
liq,023103,37.732533,-122.376681,2000
high_end_groc,061500,37.784111,-122.38923,2000
low_end_groc,020200,37.766406,-122.424302,2000
high_end_liq,021400,37.751553,-122.429893,2000
high_end_liq,026100,37.717016,-122.440606,2000
high_end_groc,010600,37.800049,-122.405865,2000
high_end_groc,016802,37.773988,-122.423202,2000
