Price,end_date,start_date,Categories,lat,lon,Grocery or Liquor,id,storetype
1.0,2017,1999,Grocery 1.0,37.795406,-122.406531,Grocery,061100,low_end_groc
1.0,2017,1998,Grocery 1.0,37.80005,-122.412481,Grocery,010300,low_end_groc
2.0,2013,2009,Grocery 2.0,37.773284,-122.42147,Grocery,020100,high_end_groc
2.0,2017,2013,Grocery 2.0,37.773284,-122.42147,Grocery,020100,high_end_groc
1.0,2017,1999,Liquor 1.0,37.753652,-122.489976,Liquor,032902,low_end_liq
2.0,2011,1968,Grocery 2.0,37.791183,-122.417443,Grocery,011100,high_end_groc
4.0,2017,2002,Grocery 4.0,37.797339,-122.408571,Grocery,010700,high_end_groc
3.0,2016,2001,Grocery 3.0,37.788995,-122.440631,Grocery,013400,high_end_groc
4.0,2017,2001,Liquor 4.0,37.789938,-122.434056,Liquor,013500,high_end_liq
2.0,2017,2001,Grocery 2.0,37.759436,-122.432716,Grocery,020600,high_end_groc
1.0,2017,1968,Grocery 1.0,37.763177,-122.423895,Grocery,020200,low_end_groc
2.0,2017,2002,Grocery 2.0,37.78787,-122.411712,Grocery,012302,high_end_groc
2.0,2017,2006,Liquor 2.0,37.79504,-122.421452,Liquor,011000,high_end_liq
1.0,2017,1968,Grocery 1.0,37.755187,-122.42096,Grocery,021000,low_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
3.0,2017,2006,Grocery 3.0,37.773005,-122.439115,Grocery,016400,high_end_groc
2.0,2017,1968,Grocery 2.0,37.797051,-122.398626,Grocery,010500,high_end_groc
2.0,2017,1968,Grocery 2.0,37.731511,-122.449537,Grocery,031100,high_end_groc
2.0,2017,1968,Grocery 2.0,37.768701,-122.427535,Grocery,020300,high_end_groc
2.0,2017,1968,Grocery 2.0,37.753724,-122.488472,Grocery,032902,high_end_groc
2.0,2017,1968,Grocery 2.0,37.74384600000001,-122.438211,Grocery,021700,high_end_groc
2.0,2017,1968,Grocery 2.0,37.805097,-122.43308,Grocery,012602,high_end_groc
2.0,2017,1968,Grocery 2.0,37.743283,-122.421372,Grocery,025300,high_end_groc
2.0,2017,1968,Grocery 2.0,37.765632,-122.410113,Grocery,017700,high_end_groc
2.0,2017,1971,Grocery 2.0,37.772309,-122.509972,Grocery,047901,high_end_groc
2.0,2017,1974,Grocery 2.0,37.743138,-122.473882,Grocery,030400,high_end_groc
2.0,2017,1980,Grocery 2.0,37.720004,-122.438349,Grocery,026004,high_end_groc
2.0,2017,2010,Grocery 2.0,37.782557,-122.430887,Grocery,015900,high_end_groc
2.0,2017,1991,Grocery 2.0,37.805738,-122.412646,Grocery,010100,high_end_groc
2.0,2017,2004,Grocery 2.0,37.776541,-122.393549,Grocery,060700,high_end_groc
